id	title	role	pattern_family	anatomy	visual_mechanism	evidence_assets	tonal_role	cadence_function	confidence	uncertainty
apex-01	Wie dein Unternehmen ohne Personal wächst	cover	P-1 hybrid cover	Full-bleed founder portrait; report promise; contents preview; metric claims; myth teaser	Portrait-led promise board	Founder portrait; numeric claims; contents	Dark hero	Hook and compression of report value	high	Exact grid and font sizes are inferred from raster only
apex-02	Arbeitest du noch im Unternehmen oder führt es sich schon selbst?	outlook	P-2 editorial outlook	Running header; long-form frame; emphasized subheads; founder inset; small visual accents	Editorial essay with portrait inset	Argument; founder portrait	Light dense	Decelerates after cover and frames the stakes	high	Body column widths are visually estimated
apex-03	Was APEX auszeichnet	about	P-3 authority wall	Photo banner; company narrative; founder profile; credential metrics; partner logos	Authority dashboard	Founder and team imagery; Siemens and partner logos; metrics	Light dense	Earns credibility before diagnosis	high	Some small credential text depends on OCR
apex-04	Agenturen und B2B-Dienstleister in 2026	status_quo	P-4 symptom diagnosis	Two editorial columns; symptom ladder; cost escalation; highlighted tip panel	Recognition ladder and warning callout	Operational examples; qualitative consequences	Light dense	Builds pain and self-recognition	high	Exact number of micro-callouts is inferred from raster
apex-05	Die 7 größten Mythen der KI-Automatisierung	false_beliefs	P-5 myths opening	Myth chapter opener; long preface; numbered myth blocks; supporting image	Numbered myth sequence	Argument and illustrative image	Light dense	Starts the objection-reframing run	high	OCR may undercount small text
apex-06	Mythen 4 bis 7	false_beliefs	P-5 myths continuation	Four numbered myth sections; cost comparison; dense body; sectional rules	Dense objection stack	Cost examples and operational comparisons	Light very dense	Maintains argumentative pressure	high	Small labels are partly OCR-derived
apex-07	Fazit zu den 7 Mythen	theory	P-7 principles synthesis	Conclusion essay; five leadership principles; image-led chapter marker; compact callouts	Principle list with photographic anchor	Concept image; leadership principles	Light dense	Releases the myth sequence into a constructive model	high	Role is semantic synthesis rather than a named ST page
apex-08	Onboarding automatisiert: Von 30 auf 2 Minuten	case_study	P-6 Apex evidence rail	Case label; claim headline; portrait rail; company profile; quote; narrative; QR and URL	Portrait evidence rail	Named client; portrait; quote; URL; quantitative result	Light dense	First proof peak after diagnosis	high	No uncertainty beyond exact measurements
apex-09	Digitales Onboarding: Wie du persönliche Kommunikation skalierst	theory	P-7 mechanism explainer	Problem frame; maturity ladder; process sequence; outcome block; body columns	Maturity ladder plus workflow	Operational sequence and stated benefits	Light dense	Generalizes case study 1 into a repeatable mechanism	high	Fine-grained chart labels depend on raster reading
apex-10	Social Media Aktivität vervierfacht	case_study	P-6 Apex evidence rail	Case label; claim headline; client mark; executive identity; testimonial; narrative	Portrait and brand evidence rail	Named client; logo; quote; quantitative result	Light dense	Second proof peak	high	Portrait crop classification is visually inferred
apex-11	Inhalt auf Knopfdruck: Omnipräsenz ohne mehr Arbeit	theory	P-7 numbered modules	Large thesis; numbered automation modules; supporting portrait quote	Four-part capability model	Concrete workflow examples; testimonial portrait	Light dense	Converts case 2 into a capability system	high	Exact module count should be confirmed against source at full zoom
apex-12	200.000 € Einsparung mit KI in sechs Monaten	case_study	P-6 Apex evidence rail	Case label; monetary claim; portrait rail; company identity; quote; results narrative	Portrait evidence rail	Named client; portrait; quote; quantitative saving	Light dense	Third and strongest numeric proof peak	high	No material uncertainty
apex-13	Automatisierung beginnt im Kopf	theory	P-7 before-after allocation	Thesis headline; progression statements; before-after time allocation; growth figures; body argument	Before-after allocation comparison	Percentages; conceptual transformation	Light dense	Turns proof into a leadership mindset shift	high	Percent labels include OCR ambiguity
apex-14	Zusammenfassung: Der Wendepunkt	summary	P-9 portrait summary	Large portrait; summary argument; direct CTA panel; URL; final benefit framing	Founder-led conclusion and CTA	Founder portrait; URL; service promise	Light dense	Begins conversion act with human authority	high	Role combines summary and conversion
apex-15	Hast du noch Fragen?	objections	P-9 objection conversion	Profit comparison bars; FAQ stack; CTA; URL and visual comparison	Comparison bars plus objection handling	Quantitative margin comparison; FAQ answers	Light dense	Removes hesitation before process explanation	high	Some comparison values are OCR-derived
apex-16	So läuft die Zusammenarbeit ab I	collaboration	P-10 process opening	Introductory argument; differentiator callout; first steps; sectional progression	Guided implementation path	Process commitments; operational safeguards	Light dense	Makes the service feel concrete and lower risk	high	The printed step labels are small in the source
apex-17	So läuft die Zusammenarbeit ab II	collaboration	P-10 process continuation	Automation plan; timeline; system build; handover and optimization sections	Multi-stage implementation path	Timeline and delivery commitments	Light dense	Completes the action pathway	high	Exact stage boundary between pages is inferred
apex-18	Du willst endlich weniger arbeiten und trotzdem mehr Umsatz?	cta	P-12 CTA poster	Full dark field; oversized promise; short support copy; dominant action line	Single-message conversion poster	Offer statement and booking action	Dark light	Hard pause and conversion peak	high	URL visibility is low in OCR but clear visually
apex-19	APEX brand breather	brand_breather	One-off brand interstitial	Minimal blue gradient field; near-empty page; oversized abstract APEX geometry	Negative-space brand pause	Brand geometry only	Light ultra light	Creates a deliberate breath before the back-page close	high	Intent is inferred because the page carries almost no text
apex-20	Dir haben die Inhalte dieses Reports gefallen?	cta	P-12a closing CTA	Long closing argument; service promise; large URL; booking prompt	Editorial back-page conversion	URL; service credibility; direct action	Light moderate	Final explanatory close after the visual pause	high	No material uncertainty
buchagentur-01	Expertenbuch als Marktführer-Hebel	cover	P-1 full-bleed cover	Full-bleed author image; report promise; inclusion panel; checks; brand mark	Portrait-led offer cover	Author portrait; book/report promise	Photo hero	Hook and category framing	high	Exact cover title is condensed in this atlas
buchagentur-02	Ausblick	outlook	P-2 editorial outlook	Editorial body; target-reader frame; author bio inset; generous outer margin	Text-led opening essay	Author identity and audience definition	Light moderate	Opens the narrative and establishes relevance	high	None
buchagentur-03	Über Buchagentur.de	about	P-3 authority panel	Company description; dark teal author panel; portrait; credibility strip; rating	Author bio plus credibility strip	Portrait; logos; Trustpilot rating	Light dense	Earns authority before diagnosis	high	Some logo identities are too small to name reliably
buchagentur-04	Statuslücke	status_quo	P-4 numbered scenarios	Five-item diagnosis list; editorial body; dark teal bottom emphasis panel	Numbered recognition ladder	Concrete market-status symptoms	Light dense	Builds recognition and tension	high	None
buchagentur-05	Die Ego-Logik	false_beliefs	P-5 conceptual reframe	Long-form argument; headline; sectional body; dark teal conclusion panel	Editorial reframe with conclusion block	Argument only	Light dense	Names the mistaken mental model	high	Role is a conceptual belief page, not a numbered list
buchagentur-06	Die 7 fatalen Buch-Irrglauben	false_beliefs	P-5 numbered beliefs	Seven numbered misconceptions; dense text; repeated number and rule rhythm	Numbered misconception sequence	Argument examples	Light very dense	Sustains objection pressure	high	None
buchagentur-07	B2B-Status-Psychologie	theory	P-7 conceptual explainer	Theory essay; brain illustration; asymmetric text and image balance	Concept illustration	Brain graphic; conceptual evidence	Light moderate	Transitions from diagnosis to explanation	high	Illustration provenance is unknown
buchagentur-08	Fallstudie 1: Kanzleibooster	case_study	P-6c embedded evidence	Case marker; narrative sections; founder photo; book cover; pullquote	Embedded portrait and product proof	Named client; portrait; book cover; quote	Light dense	First proof peak	high	Small client details are not fully transcribed
buchagentur-09	Die Sales-Cycle-Mathematik	theory	P-7b chart-driven theory	Argument; without-versus-with chart; labeled stages; conclusion	Sales-cycle comparison chart	Comparative process model	Light moderate	Generalizes case 1 into business mechanics	high	Chart values should be treated as observed, not independently verified
buchagentur-10	Fallstudie 2: Stützen	case_study	P-6c embedded evidence	Case narrative; customer portrait; book cover or project visual; pullquote	Embedded customer and product proof	Named client; portrait; project artifact; quote	Light dense	Second proof peak	high	Exact client subtitle is small
